Thu May 14 21:01:50 CEST 2026 | WARNING | Sejf | Psy wypuszczone – wykryto nieautoryzowany dostęp.
Thu May 14 21:01:50 CEST 2026 | ERROR | Sejf | Policja wezwana – błędny pin o Thu May 14 21:01:50 CEST 2026
Thu May 14 21:01:50 CEST 2026 | INFO | Sejf | Psy schowane.
Thu May 14 21:01:50 CEST 2026 | INFO | Sejf | Alarm policyjny odwołany.
Thu May 14 21:06:08 CEST 2026 | WARNING | Sejf | Psy wypuszczone – wykryto nieautoryzowany dostęp.
Thu May 14 21:06:08 CEST 2026 | ERROR | Sejf | Policja wezwana – błędny pin o Thu May 14 21:06:08 CEST 2026
Thu May 14 21:06:08 CEST 2026 | INFO | Sejf | Psy schowane.
Thu May 14 21:06:08 CEST 2026 | INFO | Sejf | Alarm policyjny odwołany.
Thu May 14 22:23:30 CEST 2026 | WARNING | Sejf | Psy wypuszczone – wykryto nieautoryzowany dostęp.
Thu May 14 22:23:30 CEST 2026 | ERROR | Sejf | Policja wezwana – błędny pin o Thu May 14 22:23:30 CEST 2026
Thu May 14 22:23:30 CEST 2026 | INFO | Sejf | Psy schowane.
Thu May 14 22:23:30 CEST 2026 | INFO | Sejf | Alarm policyjny odwołany.
Thu May 14 22:26:25 CEST 2026 | WARNING | Sejf | Psy wypuszczone – wykryto nieautoryzowany dostęp.
Thu May 14 22:26:25 CEST 2026 | ERROR | Sejf | Policja wezwana – błędny pin o Thu May 14 22:26:25 CEST 2026
Thu May 14 22:26:25 CEST 2026 | INFO | Sejf | Psy schowane.
Thu May 14 22:26:25 CEST 2026 | INFO | Sejf | Alarm policyjny odwołany.
